Date : 2024-09-26 21:37:27
Directory : c:\xampp\htdocs\laravel\StoreYourVintage
Total : 121 files,  27570 codes, 1277 comments, 6924 blanks, all 35771 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\laravel\StoreYourVintage\public\js\reasons.js                                          | JavaScript |         14 |          3 |          5 |         22 |
| c:\xampp\htdocs\laravel\StoreYourVintage\public\js\script_form.js                                      | JavaScript |         13 |          2 |          3 |         18 |
| c:\xampp\htdocs\laravel\StoreYourVintage\public\js\script_navbar.js                                    | JavaScript |          8 |          2 |          2 |         12 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\lang\auth.php                                       | PHP        |          5 |          0 |          3 |          8 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\lang\validation.php                                 | PHP        |         12 |          0 |          4 |         16 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\sass\_variables.scss                                | SCSS       |          4 |          2 |          2 |          8 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\sass\app.scss                                       | SCSS       |          3 |          3 |          3 |          9 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\audits\index.blade.php                        | PHP        |         40 |          0 |          6 |         46 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\auth\login.blade.php                          | PHP        |         57 |          0 |         12 |         69 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\auth\passwords\changePassword.blade.php       | PHP        |         66 |          0 |         10 |         76 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\auth\passwords\createPassword.blade.php       | PHP        |         58 |          0 |          9 |         67 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\auth\passwords\email.blade.php                | PHP        |         45 |          0 |          8 |         53 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\auth\passwords\reset.blade.php                | PHP        |         40 |          0 |         10 |         50 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\auth\register.blade.php                       | PHP        |         72 |          0 |         13 |         85 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\categories\create.blade.php                   | PHP        |         26 |          0 |          6 |         32 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\categories\edit.blade.php                     | PHP        |         27 |          0 |          6 |         33 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\categories\index.blade.php                    | PHP        |         44 |          0 |          7 |         51 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\customers\customers.blade.php                 | PHP        |         65 |          0 |          4 |         69 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\emails\createUsers.blade.php                  | PHP        |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\emails\resetPassword.blade.php                | PHP        |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\error.blade.php                               | PHP        |         26 |          0 |          5 |         31 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\home.blade.php                                | PHP        |         22 |          0 |          2 |         24 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\layouts\app.blade.php                         | PHP        |        102 |          0 |         15 |        117 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\products\edit.blade.php                       | PHP        |        114 |          0 |         14 |        128 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\products\index.blade.php                      | PHP        |        160 |          8 |         24 |        192 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\users\manager\edit.blade.php                  | PHP        |         53 |          0 |          7 |         60 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\users\manager\manager.blade.php               | PHP        |         98 |          0 |         13 |        111 |
| c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\users\profile.blade.php                       | PHP        |         80 |          0 |         12 |         92 |
| c:\xampp\htdocs\laravel\StoreYourVintage\routes\console.php                                            | PHP        |          6 |          0 |          3 |          9 |
| c:\xampp\htdocs\laravel\StoreYourVintage\routes\web.php                                                | PHP        |         31 |          8 |         10 |         49 |
| c:\xampp\htdocs\laravel\StoreYourVintage\tests\Pest.php                                                | PHP        |          9 |         32 |          7 |         48 |
| c:\xampp\htdocs\laravel\StoreYourVintage\tests\TestCase.php                                            | PHP        |          6 |          1 |          4 |         11 |
| c:\xampp\htdocs\laravel\StoreYourVintage\tests\Unit\ExampleTest.php                                    | PHP        |          4 |          0 |          2 |          6 |
| c:\xampp\htdocs\laravel\StoreYourVintage\vite.config.js                                                | JavaScript |         13 |          0 |          2 |         15 |
| Total                                                                                                  |            |     27,570 |      1,277 |      6,924 |     35,771 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
