"filename", "language", "PHP", "JavaScript", "SCSS", "JSON", "Markdown", "XML", "CSS", "MS SQL", "comment", "blank", "total"
"c:\xampp\htdocs\laravel\StoreYourVintage\config\queue.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 0, 44, 17, 113
"c:\xampp\htdocs\laravel\StoreYourVintage\config\services.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 11, 8, 39
"c:\xampp\htdocs\laravel\StoreYourVintage\config\session.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 160, 35, 218
"c:\xampp\htdocs\laravel\StoreYourVintage\database\factories\UserFactory.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 14, 6, 45
"c:\xampp\htdocs\laravel\StoreYourVintage\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 6, 6, 54
"c:\xampp\htdocs\laravel\StoreYourVintage\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 6, 5, 36
"c:\xampp\htdocs\laravel\StoreYourVintage\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 6, 6, 58
"c:\xampp\htdocs\laravel\StoreYourVintage\database\migrations\2024_09_19_204205_create_audits_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 6, 4, 32
"c:\xampp\htdocs\laravel\StoreYourVintage\database\seeders\DatabaseSeeder.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 5, 5, 24
"c:\xampp\htdocs\laravel\StoreYourVintage\database\vintagestore.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 588, 249, 131, 968
"c:\xampp\htdocs\laravel\StoreYourVintage\package-lock.json", "JSON", 0, 0, 0, 1235, 0, 0, 0, 0, 0, 1, 1236
"c:\xampp\htdocs\laravel\StoreYourVintage\package.json", "JSON", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\xampp\htdocs\laravel\StoreYourVintage\phpunit.xml", "XML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"c:\xampp\htdocs\laravel\StoreYourVintage\public\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\xampp\htdocs\laravel\StoreYourVintage\public\css\styles_forms.css", "CSS", 0, 0, 0, 0, 0, 0, 150, 0, 0, 29, 179
"c:\xampp\htdocs\laravel\StoreYourVintage\public\css\styles_gestor.css", "CSS", 0, 0, 0, 0, 0, 0, 88, 0, 2, 18, 108
"c:\xampp\htdocs\laravel\StoreYourVintage\public\css\styles_navbar.css", "CSS", 0, 0, 0, 0, 0, 0, 149, 0, 0, 30, 179
"c:\xampp\htdocs\laravel\StoreYourVintage\public\css\styles_perfil.css", "CSS", 0, 0, 0, 0, 0, 0, 186, 0, 1, 33, 220
"c:\xampp\htdocs\laravel\StoreYourVintage\public\css\styles_products.css", "CSS", 0, 0, 0, 0, 0, 0, 337, 0, 4, 57, 398
"c:\xampp\htdocs\laravel\StoreYourVintage\public\css\styles_usuarios.css", "CSS", 0, 0, 0, 0, 0, 0, 178, 0, 0, 31, 209
"c:\xampp\htdocs\laravel\StoreYourVintage\public\css\variables.css", "CSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\all.css", "CSS", 0, 0, 0, 0, 0, 0, 5319, 0, 7, 2551, 7877
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\all.min.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 5, 1, 9
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\brands.css", "CSS", 0, 0, 0, 0, 0, 0, 1066, 0, 5, 530, 1601
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\brands.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\fontawesome.css", "CSS", 0, 0, 0, 0, 0, 0, 4196, 0, 7, 2013, 6216
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\fontawesome.min.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 5, 1, 9
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\regular.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 5, 3, 20
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\regular.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\solid.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 5, 3, 20
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\solid.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\svg-with-js.css", "CSS", 0, 0, 0, 0, 0, 0, 384, 0, 5, 71, 460
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\svg-with-js.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\v4-font-face.css", "CSS", 0, 0, 0, 0, 0, 0, 18, 0, 5, 4, 27
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\v4-font-face.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\v4-shims.css", "CSS", 0, 0, 0, 0, 0, 0, 1566, 0, 5, 624, 2195
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\v4-shims.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\v5-font-face.css", "CSS", 0, 0, 0, 0, 0, 0, 15, 0, 5, 3, 23
"c:\xampp\htdocs\laravel\StoreYourVintage\public\fontsawesome\css\v5-font-face.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\xampp\htdocs\laravel\StoreYourVintage\public\index.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 3, 6, 18
"c:\xampp\htdocs\laravel\StoreYourVintage\public\js\app.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\laravel\StoreYourVintage\public\js\bootstrap.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\xampp\htdocs\laravel\StoreYourVintage\public\js\gestor.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 14, 17, 102
"c:\xampp\htdocs\laravel\StoreYourVintage\public\js\modals.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 7, 9, 47
"c:\xampp\htdocs\laravel\StoreYourVintage\public\js\navbar_loader.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 0, 9, 16, 85
"c:\xampp\htdocs\laravel\StoreYourVintage\public\js\perfil.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 4, 22
"c:\xampp\htdocs\laravel\StoreYourVintage\public\js\products.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 2, 12
"c:\xampp\htdocs\laravel\StoreYourVintage\public\js\reasons.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 3, 5, 22
"c:\xampp\htdocs\laravel\StoreYourVintage\public\js\script_form.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 3, 18
"c:\xampp\htdocs\laravel\StoreYourVintage\public\js\script_navbar.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 2, 12
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\lang\auth.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\lang\validation.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\sass\_variables.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 2, 2, 8
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\sass\app.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 3, 3, 9
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\audits\index.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\auth\login.blade.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 0, 12, 69
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\auth\passwords\changePassword.blade.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 0, 10, 76
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\auth\passwords\createPassword.blade.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 9, 67
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\auth\passwords\email.blade.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\auth\passwords\reset.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
